"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000149527",30.2467084107542,-0.546723127864139,0.323492500974005,-1.69006430201012,0.0910156534629577,0.146057132048897,"PLCH2","9651","phospholipase C eta 2"
"ENSG00000157881",435.476343889853,-0.0980653785974291,0.0905104466721462,-1.08347027556553,0.278599737547782,0.38206038261647,"PANK4","55229","pantothenate kinase 4 (inactive)"
"ENSG00000157873",24.332380919207,1.21815690773213,0.381099805766284,3.19642489788932,0.00139142043965163,0.0031308022045169,"TNFRSF14","8764","TNF receptor superfamily member 14"
"ENSG00000157870",391.29276401127,-1.33327287068435,0.0986171405063847,-13.5196869817781,1.19683956232566e-41,1.70096639050681e-40,"PRXL2B","127281","peroxiredoxin like 2B"
"ENSG00000142606",0.280742050920118,-0.175814047476727,3.18170420619473,-0.0552578228781982,0.955933063264583,NA,"MMEL1","79258","membrane metalloendopeptidase like 1"
"ENSG00000215912",2.46654945097095,1.20618616053658,1.18945704923975,1.01406449380204,0.310551979004436,0.418097658405717,"TTC34","100287898","tetratricopeptide repeat domain 34"
"ENSG00000142611",4.06379450073457,0.358288346917876,0.904731455664065,0.396016237387143,0.692093049716521,0.77872582215358,"PRDM16","63976","PR/SET domain 16"
"ENSG00000130762",0.793807598119251,1.75431441470476,2.01651826968355,0.869971991367108,0.38431571079979,0.498332302108684,"ARHGEF16","27237","Rho guanine nucleotide exchange factor 16"
"ENSG00000162591",120.624795073974,0.276917665332625,0.164049820583431,1.68800955921676,0.0914093939596742,0.146625124964919,"MEGF6","1953","multiple EGF like domains 6"
"ENSG00000158109",1837.24896959111,0.32129964599379,0.0532118950689303,6.03811695820231,1.55923038125084e-09,6.22425172233882e-09,"TPRG1L","127262","tumor protein p63 regulated 1 like"
"ENSG00000116213",196.349812421993,0.139171501404385,0.135733801711551,1.025326776746,0.305209025378342,0.411807252222467,"WRAP73","49856","WD repeat containing, antisense to TP73"
"ENSG00000078900",1.06285907626091,-1.2921709514889,1.83964000196144,-0.702404247630611,0.482427097091754,0.595278847700793,"TP73","7161","tumor protein p73"
"ENSG00000162592",0.612206756137193,-1.45443083822944,2.4270259959663,-0.599264631135676,0.548996429585647,0.657172626643377,"CCDC27","148870","coiled-coil domain containing 27"
"ENSG00000235169",8.00720108324259,-0.452339664822482,0.62094091141095,-0.728474572233679,0.466323128664145,0.580363981612242,"SMIM1","388588","small integral membrane protein 1 (Vel blood group)"
"ENSG00000130764",650.050345559859,-0.46156155831795,0.0765528461340457,-6.02931937383158,1.64651623327366e-09,6.56001485276473e-09,"LRRC47","57470","leucine rich repeat containing 47"
"ENSG00000116198",868.398768437544,0.369187995290467,0.0696311369997587,5.30205323649599,1.14507436029357e-07,3.96711469722768e-07,"CEP104","9731","centrosomal protein 104"
"ENSG00000169598",99.4645610854156,-0.332394430414222,0.179407543737545,-1.85273385661241,0.0639205147660815,0.106664464065049,"DFFB","1677","DNA fragmentation factor subunit beta"
"ENSG00000198912",274.59719900775,-0.0792810784305242,0.109492557763383,-0.724077325893266,0.469018263952482,0.582898369686471,"C1orf174","339448","chromosome 1 open reading frame 174"
"ENSG00000196581",2.51926689723939,-0.102073207563974,1.16098430904479,-0.0879195410039225,0.929940625270539,0.952628410039425,"AJAP1","55966","adherens junctions associated protein 1"
"ENSG00000131697",226.184495605739,0.786511845528017,0.127881527259134,6.1503163309448,7.73285609622276e-10,3.14999538822916e-09,"NPHP4","261734","nephrocystin 4"
"ENSG00000069424",137.964257926444,0.330236441806917,0.159723560375566,2.06754996589366,0.0386823611118042,0.0678529681106607,"KCNAB2","8514","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"ENSG00000116254",4.87851054000781,1.29095570136179,0.832290364272583,1.55108812594518,0.120880566361076,0.187629045500742,"CHD5","26038","chromodomain helicase DNA binding protein 5"
"ENSG00000116251",3157.32757952669,-0.0522626741365175,0.0486267563646435,-1.07477195773884,0.282476838229994,0.386540641779671,"RPL22","6146","ribosomal protein L22"
"ENSG00000158286",16.6793288692637,-0.928163910621422,0.446358637375647,-2.07941290456153,0.0375794154170145,0.0661465931465376,"RNF207","388591","ring finger protein 207"
"ENSG00000116237",2331.28583130502,-0.385174947403904,0.0484036998332513,-7.9575517725053,1.75476705956746e-15,9.87844038346267e-15,"ICMT","23463","isoprenylcysteine carboxyl methyltransferase"
"ENSG00000158292",186.514804596562,0.0095238471921941,0.133216295665943,0.0714916080242644,0.943006503295968,0.960803999002833,"GPR153","387509","G protein-coupled receptor 153"
"ENSG00000097021",1264.85337440718,-0.361761011736089,0.0633573712038201,-5.70984882835979,1.13076567446915e-08,4.25241758365049e-08,"ACOT7","11332","acyl-CoA thioesterase 7"
"ENSG00000069812",3.15810817128513,2.95472164660065,1.29792491779118,2.27649658782191,0.0228163045991818,0.0419494382713001,"HES2","54626","hes family bHLH transcription factor 2"
"ENSG00000187017",0.634513129677028,1.26926854167909,2.26453917976926,0.560497496805693,0.575140146596315,0.681493445934756,"ESPN","83715","espin"
"ENSG00000215788",53.392055126377,1.21642916910097,0.254308220323001,4.78328686173007,1.72451738532713e-06,5.39044267761428e-06,"TNFRSF25","8718","TNF receptor superfamily member 25"
"ENSG00000171680",427.118705593219,0.840544674617308,0.0963104554928981,8.72744989436053,2.60479196944559e-18,1.66910539329083e-17,"PLEKHG5","57449","pleckstrin homology and RhoGEF domain containing G5"
"ENSG00000162408",364.085764021207,-0.647970481290695,0.102971041480027,-6.29274475597471,3.11900979033862e-10,1.3103753218361e-09,"NOL9","79707","nucleolar protein 9"
"ENSG00000173662",0.144923387344288,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA,"TAS1R1","80835","taste 1 receptor member 1"
"ENSG00000204859",120.908623879486,0.264363509909213,0.171011293529223,1.54588334169894,0.122132744368651,0.189313460928184,"ZBTB48","3104","zinc finger and BTB domain containing 48"
"ENSG00000162413",2066.29846562912,0.782090893797565,0.0629049717161507,12.4328947690595,1.73245093470121e-35,2.06076367034918e-34,"KLHL21","9903","kelch like family member 21"
"ENSG00000116273",483.096239817907,-0.0838051139411949,0.0940473119741738,-0.891095260268666,0.372878067473387,0.486356972235174,"PHF13","148479","PHD finger protein 13"
"ENSG00000041988",128.326371358964,-0.430757756205844,0.158290060698675,-2.72131904116106,0.00650219738186645,0.013234274963948,"THAP3","90326","THAP domain containing 3"
"ENSG00000007923",671.879434225984,-0.56453029778927,0.075208915488815,-7.50616192402384,6.08860985920982e-14,3.18770629147547e-13,"DNAJC11","55735","DnaJ heat shock protein family (Hsp40) member C11"
"ENSG00000171735",303.848948894719,-0.086896371384278,0.107186924529919,-0.810699362495678,0.417538339545559,0.532924573328349,"CAMTA1","23261","calmodulin binding transcription activator 1"
"ENSG00000049245",1972.24810613789,-0.672795172551433,0.0520423566334122,-12.9278383238988,3.13509942159769e-38,4.02133118150625e-37,"VAMP3","9341","vesicle associated membrane protein 3"
"ENSG00000049246",147.3350024356,-0.205540232813361,0.15839921910269,-1.29760887697375,0.194421770215182,0.283870422967244,"PER3","8863","period circadian regulator 3"
"ENSG00000049247",0.322359981448618,-0.175813577071159,3.03719917988942,-0.0578867458661568,0.953838840685229,NA,"UTS2","10911","urotensin 2"
"ENSG00000049249",2.47064777156682,-2.11201292882647,1.27015503097847,-1.66279932552759,0.0963526117049181,0.153784361198514,"TNFRSF9","3604","TNF receptor superfamily member 9"
"ENSG00000116288",2258.1923049478,-0.337643069159024,0.0495260522060528,-6.8174840133484,9.26487102816349e-12,4.29253911389731e-11,"PARK7","11315","Parkinsonism associated deglycase"
"ENSG00000116285",2398.97446233045,-0.978812953449162,0.138405725453305,-7.07205536652019,1.52655484608482e-12,7.39105299658279e-12,"ERRFI1","54206","ERBB receptor feedback inhibitor 1"
"ENSG00000162426",66.1455851799461,-0.0885200519327751,0.218918491705125,-0.404351643588008,0.685954154018267,0.774312098538417,"SLC45A1","50651","solute carrier family 45 member 1"
"ENSG00000142599",1448.30090895099,-0.728832876545305,0.0608942360738367,-11.9688319213261,5.17520613256419e-33,5.68770976746689e-32,"RERE","473","arginine-glutamic acid dipeptide repeats"
"ENSG00000074800",18390.4756149844,-1.33893117834413,0.0358590275846069,-37.3387475492751,3.86082216053745e-305,2.37086654175004e-302,"ENO1","2023","enolase 1"
"ENSG00000131686",0.144923387344288,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA,"CA6","765","carbonic anhydrase 6"
"ENSG00000142583",0.795996933916045,1.65816531766854,2.0909609729099,0.793015909503534,0.427768553605246,0.543206353871629,"SLC2A5","6518","solute carrier family 2 member 5"
"ENSG00000180758",131.906748861367,-0.909413829377667,0.158163616950591,-5.7498294924664,8.93334953817463e-09,3.37935589049327e-08,"GPR157","80045","G protein-coupled receptor 157"
"ENSG00000049239",1601.45954658721,-0.444676869370042,0.0545653741573589,-8.14943315677917,3.65634067301458e-16,2.12405001335786e-15,"H6PD","9563","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"
"ENSG00000171621",607.0715212426,0.246110337968769,0.0810677536420205,3.03585984453874,0.00239850827708683,0.00523072136544919,"SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1"
"ENSG00000171612",169.912453924335,0.0838130139134552,0.144325337344476,0.580722799305919,0.561427293136972,0.668469498000703,"SLC25A33","84275","solute carrier family 25 member 33"
"ENSG00000188807",341.694439198546,0.112623707100646,0.103721283352355,1.08583025065404,0.277554100144314,0.38094545799282,"TMEM201","199953","transmembrane protein 201"
"ENSG00000171608",587.285654132433,-0.631337041044314,0.0889004653932941,-7.10161682789049,1.23305710563403e-12,6.00158375919231e-12,"PIK3CD","5293","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"ENSG00000171603",4150.80399431927,-0.120192281360252,0.0425908497383475,-2.82202121109678,0.00477220208201944,0.00994242497664723,"CLSTN1","22883","calsyntenin 1"
"ENSG00000178585",367.372092143342,-0.216351827781734,0.0978413063406239,-2.21125244412139,0.0270183605263377,0.0489786712714839,"CTNNBIP1","56998","catenin beta interacting protein 1"
"ENSG00000162441",292.967656286429,-0.972540270466724,0.109782576743942,-8.8587852399847,8.08910326673938e-19,5.29854239756467e-18,"LZIC","84328","leucine zipper and CTNNBIP1 domain containing"
"ENSG00000173614",221.895316976591,-0.295736728382781,0.12143717099416,-2.43530647133573,0.0148791815029518,0.0284569656099797,"NMNAT1","64802","nicotinamide nucleotide adenylyltransferase 1"
"ENSG00000162444",0.335628953094802,1.76002405827133,2.9420047564423,0.598239705227291,0.54968000169058,NA,"RBP7","116362","retinol binding protein 7"
"ENSG00000130939",2003.76871125387,0.737284394392398,0.052278464558247,14.1030231209438,3.63842897339874e-45,5.60325665725713e-44,"UBE4B","10277","ubiquitination factor E4B"
"ENSG00000054523",1698.73379437079,-0.199776858698103,0.0601957605554662,-3.31878618784163,0.000904096259631802,0.00209078466569175,"KIF1B","23095","kinesin family member 1B"
"ENSG00000142657",3988.34288412843,0.12394091867905,0.0453004910796398,2.73597296023034,0.00621961364795994,0.0126959371113066,"PGD","5226","phosphogluconate dehydrogenase"
"ENSG00000251503",2.62968228585215,0.208091344564765,1.06169564304442,0.195999056724073,0.844610904303639,0.894951147287873,"CENPS-CORT","100526739","CENPS-CORT readthrough"
"ENSG00000175279",15.1411484580662,-0.000460007617163875,0.450672714616779,-0.00102071326318265,0.999185588787716,0.999389019854317,"CENPS","378708","centromere protein S"
"ENSG00000241563",2.83610942310219,-0.336471751099224,1.02984221115347,-0.326721654497304,0.743878420401264,0.819691806878248,"CORT","1325","cortistatin"
"ENSG00000160049",909.431158299505,-0.199097359011152,0.0713596712279538,-2.79005432038986,0.00526991990759425,0.0108946667973242,"DFFA","1676","DNA fragmentation factor subunit alpha"
"ENSG00000142655",301.444744039201,-0.203866048675658,0.109802695712708,-1.85665795682341,0.0633598326438223,0.105896712803884,"PEX14","5195","peroxisomal biogenesis factor 14"
"ENSG00000130940",4.15740417674339,-0.976775926016725,0.891322406797139,-1.0958727375952,0.273134471208712,0.375824464258613,"CASZ1","54897","castor zinc finger 1"
"ENSG00000120948",1216.48413987918,-0.274926327562322,0.0595649563008064,-4.61557171592518,3.92014637280378e-06,1.1853737636927e-05,"TARDBP","23435","TAR DNA binding protein"
"ENSG00000277726",0.144923387344288,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA,NA,NA,NA
"ENSG00000009724",15.536404218195,-0.41060703457318,0.446495178884805,-0.919622549114056,0.35777003896703,0.47028316395791,"MASP2","10747","MBL associated serine protease 2"
"ENSG00000116649",2058.93095814472,-1.26360906970592,0.0543785212924014,-23.2372826563508,1.91282390589244e-119,1.08846327123717e-117,"SRM","6723","spermidine synthase"
"ENSG00000171824",817.373897377406,-0.16405006115054,0.0730072388241816,-2.24703829089621,0.0246375800847997,0.0450395255879159,"EXOSC10","5394","exosome component 10"
"ENSG00000198793",1657.59550594203,-0.0149372943454204,0.0541494336843692,-0.275853196036881,0.782660823679048,0.848900148615088,"MTOR","2475","mechanistic target of rapamycin kinase"
"ENSG00000171819",0.633640327047847,-1.58849331434963,2.26587338609734,-0.701051225587496,0.483271047403515,0.59580251602957,"ANGPTL7","10218","angiopoietin like 7"
"ENSG00000120942",259.092435417049,-0.329131544987383,0.114674768148258,-2.87013045940379,0.00410302476734673,0.00863369203614451,"UBIAD1","29914","UbiA prenyltransferase domain containing 1"
"ENSG00000204624",2.65819514122545,1.93152758932242,1.23066877404707,1.56949427015245,0.116532813542057,0.181722633158696,"DISP3","57540","dispatched RND transporter family member 3"
"ENSG00000116661",46.1780785986074,1.1692498781533,0.26953213793364,4.33807221327043,1.43737931422137e-05,4.08486238584545e-05,"FBXO2","26232","F-box protein 2"
"ENSG00000132879",215.991808974041,-0.0309694525377351,0.127314016140199,-0.243252498637946,0.807809799885506,0.867305371218226,"FBXO44","93611","F-box protein 44"
"ENSG00000116663",65.119162161343,-0.231679116492964,0.221335192064877,-1.04673420585125,0.295222182897907,0.400790763775732,"FBXO6","26270","F-box protein 6"
"ENSG00000116670",303.585942678025,-0.317778352203028,0.109799827120681,-2.89416076997788,0.00380173453651021,0.00804912564273632,"MAD2L2","10459","mitotic arrest deficient 2 like 2"
"ENSG00000162490",12.974640930305,3.04770708206732,0.655648990805036,4.64838217523252,3.34548632547652e-06,1.01976788965611e-05,"DRAXIN","374946","dorsal inhibitory axon guidance protein"
"ENSG00000177674",420.234513406688,0.535065201707563,0.0979024839904381,5.46528729301518,4.62157676013174e-08,1.6568425757923e-07,"AGTRAP","57085","angiotensin II receptor associated protein"
"ENSG00000177000",285.501117306741,0.292840334621686,0.109822673617432,2.66648338613387,0.00766493948093253,0.0153967395488597,"MTHFR","4524","methylenetetrahydrofolate reductase"
"ENSG00000011021",368.754725254034,0.707741258741224,0.101384572246927,6.98075893655185,2.93589704126883e-12,1.40075269000389e-11,"CLCN6","1185","chloride voltage-gated channel 6"
"ENSG00000175206",0.765458639236935,2.98036577807943,2.05602872076563,1.44957400058575,0.147177350592213,0.22315841492058,"NPPA","4878","natriuretic peptide A"
"ENSG00000120937",1.24540004274696,1.09584693798986,1.78346284303669,0.614448987411464,0.538918672863431,0.648956891956961,"NPPB","4879","natriuretic peptide B"
"ENSG00000116685",1363.89085730184,0.0856483540009393,0.0623836621793725,1.37292924154843,0.169774344989489,0.252187580991508,"KIAA2013","90231","KIAA2013"
"ENSG00000083444",10160.1427997413,0.0864413026702327,0.0408905509240729,2.11396767020186,0.0345180287093322,0.0612259847295869,"PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
"ENSG00000116688",2352.37990165954,-0.232692535028937,0.0509958657862828,-4.56296861404651,5.04353567652083e-06,1.50804684115569e-05,"MFN2","9927","mitofusin 2"
"ENSG00000116691",142.034439404488,-0.62669273813617,0.155598121640565,-4.02763691186353,5.63402602698601e-05,0.000150451668029933,"MIIP","60672","migration and invasion inhibitory protein"
"ENSG00000120949",2.87800909922136,-1.85157049352579,1.12067334181883,-1.6521946444454,0.0984948778655664,0.156931622700834,"TNFRSF8","943","TNF receptor superfamily member 8"
"ENSG00000028137",284.51883113806,-0.691579199712764,0.113095489138286,-6.11500250789972,9.65554451103373e-10,3.90728761679339e-09,"TNFRSF1B","7133","TNF receptor superfamily member 1B"
"ENSG00000048707",1177.42898261781,0.315531741208421,0.0753063171764567,4.18997705689247,2.78982661381851e-05,7.68244854903908e-05,"VPS13D","55187","vacuolar protein sorting 13 homolog D"
"ENSG00000162496",239.359926567298,1.49168299077938,0.126037747482302,11.8352082655939,2.56705520527343e-32,2.7455195656981e-31,"DHRS3","9249","dehydrogenase/reductase 3"
"ENSG00000179172",1.21308277816865,-1.51845232839999,1.69389517375682,-0.896426385720365,0.370025080304542,0.483288694924526,"HNRNPCL1","343069","heterogeneous nuclear ribonucleoprotein C like 1"
"ENSG00000120952",0.13581866357583,0.78595520814275,4.0804728567969,0.192613757210411,0.847261469988087,NA,"PRAMEF2","65122","PRAME family member 2"
"ENSG00000277058",0.158192358990472,0.78595520814275,4.0804728567969,0.192613757210411,0.847261469988087,NA,"HNRNPCL3","649330","heterogeneous nuclear ribonucleoprotein C like 3"
"ENSG00000275774",0.144923387344288,-1.13759814349974,4.0804728567969,-0.278790763576536,0.780405403141678,NA,"HNRNPCL2","440563","heterogeneous nuclear ribonucleoprotein C like 2"
"ENSG00000179412",1.42945348458235,-0.228839133995097,1.50624541819547,-0.151926858153869,0.879244624440648,0.917671022915449,"HNRNPCL4","101060301","heterogeneous nuclear ribonucleoprotein C like 4"
"ENSG00000162493",46.3376286808845,0.859990244258841,0.272303233825355,3.15820797343306,0.0015874226476223,0.00354207948230999,"PDPN","10630","podoplanin"
"ENSG00000116731",500.380369836304,-0.39746158844474,0.0857637581750624,-4.63437700145363,3.58014022496521e-06,1.08814408404903e-05,"PRDM2","7799","PR/SET domain 2"
"ENSG00000189337",242.360447435594,-0.616800098175272,0.120164471534055,-5.13296559541287,2.85212058453305e-07,9.59473936883088e-07,"KAZN","23254","kazrin, periplakin interacting protein"
"ENSG00000171729",518.629349291039,1.29355664555551,0.097946182427996,13.2068102450695,8.01494535630414e-40,1.07483407335041e-38,"TMEM51","55092","transmembrane protein 51"
